mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mel_1,mel_2,mel_3,mel_4,mel_5,mel_6,mel_7,mel_8,mel_9,mel_10,mel_11,mel_12,mel_13,mel_14,mel_15,mel_16,mel_17,mel_18,mel_19,mel_20,mel_21,mel_22,mel_23,mel_24,mel_25,mel_26,mel_27,mel_28,mel_29,mel_30,mel_31,mel_32,mel_33,mel_34,mel_35,mel_36,mel_37,mel_38,mel_39,mel_40,mel_41,mel_42,mel_43,mel_44,mel_45,mel_46,mel_47,mel_48,mel_49,mel_50,mel_51,mel_52,mel_53,mel_54,mel_55,mel_56,mel_57,mel_58,mel_59,mel_60,mel_61,mel_62,mel_63,mel_64,mel_65,mel_66,mel_67,mel_68,mel_69,mel_70,mel_71,mel_72,mel_73,mel_74,mel_75,mel_76,mel_77,mel_78,mel_79,mel_80,mel_81,mel_82,mel_83,mel_84,mel_85,mel_86,mel_87,mel_88,mel_89,mel_90,mel_91,mel_92,mel_93,mel_94,mel_95,mel_96,mel_97,mel_98,mel_99,mel_100,mel_101,mel_102,mel_103,mel_104,mel_105,mel_106,mel_107,mel_108,mel_109,mel_110,mel_111,mel_112,mel_113,mel_114,mel_115,mel_116,mel_117,mel_118,mel_119,mel_120,mel_121,mel_122,mel_123,mel_124,mel_125,mel_126,mel_127,mel_128,label
-213.35764,67.80447,5.7932854,-3.4460049,-23.19717,-33.354076,-25.853666,-4.9919095,-19.44531,-28.046766,-6.8862453,-15.316089,0.06856095,-69.55077,-68.991516,-67.368935,-62.753414,-53.37296,-50.62982,-47.14508,-43.01974,-37.98388,-31.583538,-28.126015,-32.301464,-37.397205,-38.967026,-40.283344,-41.66597,-40.22021,-39.39998,-38.51895,-34.9734,-31.324078,-29.927736,-31.862373,-35.177204,-37.940723,-41.428047,-43.103657,-43.938618,-44.98512,-43.747334,-42.11388,-40.25355,-38.98322,-42.247593,-46.376198,-45.37892,-45.678146,-47.659847,-48.609715,-46.704338,-44.042507,-45.79728,-47.286015,-47.520966,-48.366196,-51.092205,-52.344734,-51.781788,-51.202435,-49.883907,-51.800976,-54.69407,-53.66174,-55.19365,-61.25627,-60.25761,-57.361687,-58.6521,-61.971317,-58.040966,-54.405468,-54.457436,-53.41323,-50.508583,-52.526447,-52.346394,-50.991287,-50.282204,-50.08095,-49.242184,-50.6732,-50.39414,-50.88072,-51.96837,-52.903915,-52.93293,-52.096714,-52.29769,-53.13695,-55.002514,-54.095318,-52.483402,-53.08178,-55.3237,-54.760868,-53.57121,-55.2497,-57.742165,-57.62107,-57.539642,-61.493877,-61.53232,-61.050186,-64.2908,-63.500225,-61.52495,-60.168575,-56.993195,-56.6629,-56.777786,-55.82176,-55.350677,-53.69909,-53.13349,-53.547226,-55.298405,-56.2969,-55.370266,-54.471195,-56.25413,-57.904583,-61.105885,-61.69894,-62.03367,-62.628773,-65.19169,-64.91422,-63.560867,-62.4145,-61.060406,-58.508873,-55.840164,-55.245293,-55.161945,-56.295647,-56.79675,-60.885857,-69.75607,0
-179.39865,149.8363,-13.198859,-15.223557,-35.399014,-24.4564,-15.8288555,-8.466495,-4.694354,-6.1314178,-1.1822268,-2.2755928,-3.739501,-51.494965,-50.385677,-50.011654,-49.63394,-47.43852,-38.742985,-26.902029,-29.998709,-40.373756,-42.38939,-41.794575,-41.63467,-34.142403,-25.318295,-23.085402,-29.907518,-35.69436,-36.330154,-33.910587,-26.854921,-22.341011,-20.692814,-23.547344,-29.81397,-32.09806,-31.602354,-28.42097,-26.385506,-23.898968,-23.426317,-26.520227,-31.506413,-34.648083,-33.92709,-32.97573,-33.49679,-33.21745,-34.167007,-36.206745,-37.227215,-37.487045,-36.64539,-38.21597,-38.856766,-39.52606,-42.372997,-41.678905,-42.003014,-44.892387,-45.997253,-46.102726,-45.48008,-43.390648,-44.000393,-48.87052,-49.986416,-48.356407,-47.767307,-48.199303,-50.845524,-52.672684,-50.92881,-49.180206,-50.62658,-53.60868,-53.184917,-52.09256,-52.468433,-53.065136,-51.723396,-51.248154,-52.817974,-52.47659,-53.10923,-54.316113,-54.479645,-55.40007,-57.6755,-57.19276,-56.87161,-58.599556,-58.278088,-56.571815,-57.040672,-56.563454,-55.89678,-57.45756,-59.382584,-61.47884,-60.732388,-60.261784,-59.543716,-59.285934,-61.331184,-61.943382,-63.4124,-64.80067,-65.03798,-63.967922,-63.632133,-62.30564,-61.669952,-61.213478,-61.539307,-62.141994,-62.58652,-64.229866,-66.93265,-69.64483,-70.832886,-71.30362,-71.70257,-72.11994,-71.2581,-69.77064,-69.645515,-68.84389,-67.41517,-67.141884,-67.53923,-68.49828,-68.6776,-68.814415,-69.52481,-70.07281,-70.33513,-72.83984,-78.21307,0
-188.1322,95.19736,-0.7486571,46.174095,-17.150543,-4.5935755,-13.287131,-10.344658,-11.952709,-12.01359,-6.4487967,-4.186765,-9.679161,-54.417274,-53.864967,-53.206303,-50.97422,-48.735992,-40.081814,-20.101137,-12.314535,-19.405876,-31.68369,-42.10607,-47.432537,-46.429794,-40.471626,-31.006083,-27.985859,-34.47979,-40.34612,-42.351788,-41.575867,-39.835632,-35.83366,-32.665554,-34.241016,-40.48105,-46.900543,-49.291344,-49.262264,-47.900787,-43.71398,-42.92599,-46.443897,-50.37663,-52.592113,-54.52403,-54.38643,-51.9553,-48.313457,-47.067158,-49.260723,-51.8526,-54.326324,-56.13261,-55.032124,-52.19347,-51.480877,-52.15068,-52.26573,-53.532734,-55.30338,-55.266815,-53.81745,-55.18743,-55.47113,-55.615818,-56.40975,-54.10044,-53.515438,-54.709698,-56.6013,-56.989758,-55.19343,-54.984264,-54.79021,-55.07264,-53.181793,-53.539364,-55.11648,-54.53534,-52.342014,-51.693012,-53.620056,-53.928402,-51.62415,-51.89624,-53.327957,-51.1907,-51.65367,-54.619854,-53.813393,-53.0993,-54.55052,-52.672768,-52.730534,-53.444725,-51.680702,-51.891987,-51.67949,-51.71948,-54.952053,-55.253166,-56.53781,-56.225166,-57.542534,-56.93102,-57.162617,-56.295654,-55.439526,-54.54531,-54.065243,-53.921524,-54.63171,-56.07553,-58.378002,-60.353836,-61.803238,-63.33432,-65.46358,-66.98317,-66.90459,-67.71744,-67.60977,-67.24936,-67.15459,-67.01132,-67.85078,-68.743126,-68.59471,-68.82843,-68.91227,-69.17871,-69.0718,-70.03432,-70.10552,-71.286674,-74.520584,-79.33688,-79.90484,0
-167.792,75.29105,16.568933,34.79848,9.346069,-3.9220695,-16.687376,-5.159154,-13.837854,0.15482584,-16.547148,4.9049416,-7.8196917,-44.893887,-47.438484,-50.621204,-44.44126,-29.543299,-19.813154,-22.70345,-34.968296,-39.90241,-38.505203,-33.60152,-29.59741,-29.039349,-32.093197,-36.62056,-38.17324,-37.679424,-35.08678,-32.51629,-34.60406,-38.335632,-41.530037,-42.678234,-41.5866,-40.025803,-41.91395,-45.059273,-46.853348,-47.781254,-46.94216,-47.130993,-47.379658,-49.284794,-50.5029,-50.702232,-52.08954,-52.944256,-52.301792,-53.24053,-54.053944,-53.900944,-52.43741,-52.911324,-51.83629,-51.674183,-51.54846,-50.99756,-51.494057,-52.510227,-53.389977,-53.61984,-53.702553,-52.899574,-52.34084,-53.299316,-53.2073,-52.93275,-50.66549,-49.07319,-48.837387,-51.181896,-52.349857,-50.96358,-49.52619,-48.812054,-49.56486,-47.638985,-48.01536,-49.77047,-50.217678,-48.276676,-48.53264,-49.73365,-49.793514,-51.491234,-52.884533,-54.205986,-55.497387,-53.794197,-52.288177,-52.204926,-52.467426,-51.387306,-50.380127,-52.399025,-52.48944,-52.279884,-53.87869,-54.166473,-52.31566,-52.332554,-53.70596,-53.10528,-54.54692,-54.61377,-55.94575,-57.534184,-58.54718,-59.017033,-57.353477,-56.44933,-57.11025,-57.658,-59.517475,-58.078342,-56.899754,-57.01074,-57.20412,-58.30697,-58.11405,-57.227123,-57.279667,-57.054913,-55.769463,-56.17046,-56.084736,-56.698135,-57.550274,-57.669212,-56.569996,-55.615532,-56.122097,-56.754726,-57.48386,-59.53469,-65.76287,-74.729485,-79.64397,0
-141.45357,92.44181,-39.37226,63.29097,-31.203012,27.911175,-26.27596,4.975826,-4.2947035,-0.0030269471,-6.312915,4.0636415,-10.644008,-38.733597,-36.128597,-32.818134,-19.435959,-9.557533,-20.308249,-32.92085,-29.849554,-25.842875,-22.795465,-23.415545,-24.730747,-28.255613,-31.080452,-28.566095,-22.392834,-22.154556,-29.550373,-33.688282,-31.144062,-25.419325,-26.480633,-32.735184,-34.535385,-30.367548,-27.181732,-28.4061,-31.140429,-31.461275,-32.202644,-33.66098,-34.553528,-35.616726,-37.860394,-38.19007,-36.814205,-32.6432,-32.828537,-36.504368,-38.533047,-37.76066,-34.439697,-33.50295,-36.392754,-39.141033,-38.75967,-34.86684,-33.87757,-36.111416,-38.541958,-37.31347,-34.892532,-36.698143,-38.47554,-35.35146,-33.85643,-36.09461,-36.297356,-34.61969,-33.755783,-34.64676,-34.402733,-31.713387,-32.182083,-32.80941,-31.612724,-33.95126,-34.615074,-36.37602,-37.49362,-37.422146,-35.909943,-36.99869,-35.950577,-36.734135,-35.82737,-35.386322,-34.84417,-35.375923,-35.24091,-34.506683,-35.277763,-35.91337,-36.140327,-36.90324,-39.16785,-38.97789,-38.624462,-39.145454,-38.18324,-37.134052,-36.66953,-35.492702,-34.267395,-33.006947,-32.401443,-32.607063,-32.306305,-32.787212,-34.694366,-36.385155,-37.241623,-36.800117,-37.6084,-38.909683,-42.25301,-45.838547,-46.42376,-48.268345,-50.00853,-52.16571,-50.770508,-51.008327,-53.70223,-54.544884,-54.313965,-56.16067,-58.806118,-58.964775,-59.24945,-59.923622,-64.118355,-67.70637,-73.374886,-78.80473,-79.52306,-79.702225,-79.702324,0
-140.23601,118.2695,1.6104304,16.040363,-2.1671526,10.565565,-6.660809,-20.878036,-15.607518,-1.1668962,-14.985888,1.8384572,-7.63672,-44.542374,-45.98888,-38.098766,-25.414959,-25.19006,-32.038326,-30.719667,-28.179873,-28.258852,-28.026802,-27.357325,-30.205534,-32.99121,-31.00607,-25.837994,-25.8839,-29.099934,-30.059107,-27.858772,-26.578304,-27.410992,-30.479744,-32.112873,-35.221825,-37.82854,-38.521694,-40.726585,-42.813572,-43.324646,-42.47705,-41.519794,-42.613953,-42.931118,-43.417812,-42.8019,-41.978878,-40.995815,-40.73217,-43.14882,-42.997955,-42.141453,-41.02257,-40.532963,-40.939186,-41.536427,-41.993603,-41.595997,-41.76605,-42.921505,-42.38279,-41.2185,-41.100044,-42.996758,-42.760242,-41.92473,-42.866585,-43.428436,-41.281178,-41.81796,-43.969875,-44.413162,-45.18607,-47.166744,-47.682846,-46.727608,-47.24129,-48.052475,-51.048985,-51.0898,-53.97542,-55.27631,-55.059536,-55.591385,-54.788227,-54.06791,-52.75744,-52.501064,-52.185177,-51.745216,-51.966705,-50.625763,-50.98461,-51.82013,-53.4978,-54.052715,-53.297733,-52.65906,-52.705612,-52.642746,-51.75355,-51.95694,-51.885296,-52.408054,-54.02761,-53.782234,-54.30556,-54.99514,-55.764473,-55.98742,-55.38891,-55.846485,-55.069668,-56.911957,-57.89917,-59.636993,-61.700893,-65.864075,-65.64061,-63.587265,-62.889603,-61.640633,-60.065617,-59.73813,-60.35649,-60.84456,-61.44969,-61.274303,-59.49388,-58.0427,-58.73989,-58.88886,-58.932453,-59.089626,-60.253227,-64.23108,-70.86293,-77.10087,-79.112785,0
-166.40091,97.12286,5.555635,51.39406,8.801546,-14.708249,-23.21634,-12.676408,-18.746948,2.0240386,-22.38087,0.8942726,-11.3021145,-45.50851,-46.383205,-50.989307,-42.88503,-21.280203,-13.643391,-22.422356,-34.50842,-35.80014,-30.844088,-22.714409,-20.133982,-23.641531,-27.63561,-28.401123,-27.51419,-26.956865,-27.753487,-29.416298,-31.263554,-32.372066,-33.443207,-33.62053,-33.836662,-35.73649,-39.65555,-41.52496,-41.670715,-41.092976,-40.965744,-44.53372,-46.73408,-47.643646,-47.383102,-47.720043,-48.722885,-49.611736,-50.408348,-51.288525,-51.847866,-51.70126,-51.73318,-52.092434,-51.451984,-52.44404,-52.202366,-52.340187,-50.652073,-51.445755,-52.8466,-52.088524,-51.410473,-49.80112,-49.25831,-49.103703,-48.879852,-47.754665,-47.085567,-46.84842,-45.294,-45.842968,-46.84626,-45.037083,-44.697346,-46.195164,-45.904186,-44.426105,-42.525627,-43.015423,-45.820095,-46.511852,-46.785255,-46.192436,-46.442722,-46.93134,-47.53889,-47.43503,-47.834995,-49.463448,-47.383644,-45.03139,-44.761333,-46.25477,-47.35777,-47.685223,-49.07811,-50.066563,-49.929634,-49.87227,-49.550274,-47.34492,-47.996788,-49.773746,-52.125755,-54.225513,-55.647263,-56.227306,-54.720024,-55.58708,-57.597305,-58.579624,-60.228012,-61.373283,-61.55263,-61.294476,-59.75478,-60.98086,-58.975395,-57.739758,-57.42167,-56.23514,-56.212013,-56.022114,-57.222878,-59.16255,-59.992832,-60.383392,-60.734325,-60.182457,-57.70827,-56.865208,-57.834946,-60.467056,-61.818367,-64.7172,-70.22477,-77.890915,-79.80661,0
-138.22089,128.07936,-22.634872,49.262756,1.6297292,-6.5208855,8.508039,-12.34442,-1.3018072,-1.4061286,-5.530764,0.45048013,-0.7338452,-20.663342,-29.836884,-34.06167,-30.216208,-16.16699,-11.82221,-23.506948,-32.981018,-33.423164,-25.614841,-19.94864,-19.835716,-26.787218,-30.13939,-29.698603,-24.600319,-22.863329,-24.843336,-27.67887,-28.310965,-27.288969,-28.465408,-31.90822,-34.82636,-35.177345,-33.703064,-31.58242,-32.173836,-37.25893,-39.766617,-39.021038,-34.879265,-33.466564,-36.005783,-39.744316,-41.957928,-38.349297,-34.77138,-36.207333,-39.810654,-42.227974,-42.080013,-39.37358,-37.160194,-38.19573,-40.06357,-40.874928,-40.26086,-38.034092,-39.748764,-41.741837,-42.07643,-41.215107,-40.40112,-42.33205,-42.660694,-40.7771,-39.620636,-39.474556,-39.95601,-39.82189,-39.895805,-40.068233,-40.897987,-40.69666,-40.381245,-40.49043,-40.599495,-40.71442,-40.137383,-41.64836,-43.064594,-43.073254,-43.875443,-43.011265,-42.39681,-41.502495,-39.82892,-40.030914,-38.45174,-38.443356,-39.497334,-39.821682,-40.673225,-39.99526,-41.418285,-43.25713,-43.533463,-45.15103,-45.49664,-45.971775,-45.618008,-46.022537,-46.254555,-45.903683,-46.709076,-47.84316,-50.53435,-51.984,-53.70378,-55.845367,-57.15938,-58.213238,-60.239716,-61.655376,-61.68393,-62.848717,-63.1118,-62.824955,-63.802826,-65.53262,-64.34747,-63.023293,-63.39798,-64.71974,-64.0322,-64.15765,-64.567635,-64.36061,-64.58709,-64.83375,-65.332825,-64.60603,-65.067566,-65.86262,-65.04435,-65.201035,-66.57997,0
-164.25299,53.340626,10.647115,-11.278347,-28.023037,-23.384491,-33.76576,-15.016977,-1.585456,-21.968243,-16.917858,-13.951057,-1.5312917,-67.171074,-64.77017,-62.18372,-56.015247,-45.914143,-43.55591,-40.78039,-39.11657,-35.31564,-30.573631,-29.18264,-28.168764,-29.119781,-32.097504,-34.457996,-36.898716,-35.838604,-33.01591,-29.86566,-30.153633,-29.394575,-28.846296,-28.87346,-29.76948,-32.05485,-33.875538,-34.756866,-34.589092,-35.077637,-34.682457,-34.975933,-34.19196,-35.767654,-36.927254,-38.74389,-38.987038,-37.964268,-37.682835,-38.954136,-38.632187,-39.644474,-40.261364,-41.473804,-43.12134,-45.834347,-48.20271,-49.90833,-49.028233,-48.393578,-47.659245,-47.19283,-47.335033,-46.88853,-46.875065,-48.436375,-49.941647,-49.45453,-48.674824,-48.539906,-47.210262,-45.132275,-43.289925,-43.18201,-44.690975,-45.165237,-44.95605,-44.33385,-43.525856,-42.914772,-44.313572,-45.223377,-45.72254,-46.549446,-47.033638,-48.299137,-51.282917,-51.309628,-53.27968,-54.800167,-57.31084,-56.99538,-53.059868,-50.757175,-50.74323,-50.171864,-47.06247,-45.66392,-47.004562,-49.70925,-49.49523,-48.84104,-50.081734,-50.703754,-49.204483,-47.75956,-48.85097,-50.049686,-47.9481,-47.21237,-47.875378,-46.6394,-45.628418,-45.738213,-46.951096,-45.48292,-45.405296,-47.7528,-47.408295,-46.854065,-48.791977,-49.525364,-49.61279,-50.561813,-52.347954,-51.505188,-53.222656,-54.825417,-53.772026,-55.02584,-53.922752,-53.162617,-53.143425,-49.334045,-46.78134,-46.25548,-45.383736,-48.20469,-57.416824,0
-273.15167,99.11771,8.310463,50.64523,8.820959,9.569364,8.3816805,4.3036423,6.614003,4.9985433,1.091818,7.024593,-1.3555597,-22.27542,-26.307835,-31.628098,-31.766266,-30.165545,-37.618614,-42.095768,-40.14138,-35.320255,-35.972,-40.48202,-43.63466,-41.79794,-38.12455,-39.223217,-43.634026,-46.572742,-45.234196,-44.57161,-46.442257,-48.65866,-48.070877,-46.878227,-45.929222,-47.61714,-50.447063,-50.740253,-50.44236,-50.632652,-52.03452,-52.055305,-53.309513,-51.966335,-52.176327,-53.643475,-54.129025,-53.33707,-53.85177,-55.261925,-54.951176,-54.57967,-54.966805,-55.99703,-56.512333,-56.873035,-55.426792,-55.866207,-56.29843,-56.320744,-56.67068,-57.286602,-58.07542,-57.07715,-56.705437,-56.98952,-57.05037,-56.11983,-56.827583,-56.649967,-55.4857,-55.01022,-56.135986,-55.60294,-55.61728,-57.045048,-55.677334,-56.485157,-56.550884,-56.450462,-56.06591,-55.600037,-56.25591,-56.772423,-56.788185,-56.049286,-55.847523,-55.646744,-54.638123,-54.509174,-54.97167,-55.49228,-55.65095,-57.040436,-57.847332,-57.97254,-58.32587,-57.924603,-58.05669,-57.974823,-57.42849,-56.896896,-56.95747,-57.353317,-58.228065,-58.459476,-59.15675,-59.627407,-60.777584,-61.31948,-61.558777,-62.139023,-62.708977,-63.63338,-64.66726,-65.91663,-67.00381,-67.77678,-68.89581,-69.581696,-69.70922,-69.681206,-69.91493,-69.819176,-69.625404,-68.99186,-68.266785,-67.385155,-68.5094,-69.47826,-69.73673,-70.55779,-71.20131,-71.82319,-72.59781,-72.38859,-72.231125,-74.67723,-78.542336,0
